"PEPANNRES: Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014",,,,,,,,,,,
2014 Population Estimates ,,,,,,,,,,,
Geography,,,"April 1, 2010",,,,Population Estimate (as of July 1),,,,
,,,Census,,,Estimates Base,2010,2011,2012,2013,2014
"Warren County, Iowa",,,"46,225",,,"46,228","46,323","46,664","46,950","47,399","47,956"
"Washington County, Iowa",,,"21,704",,,"21,704","21,696","21,830","21,921","22,015","22,070"
"Wayne County, Iowa",,,"6,403",,,"6,403","6,398","6,363","6,355","6,416","6,395"
"Webster County, Iowa",,,"38,013",,,"38,013","37,865","37,704","37,253","37,216","36,955"
"Winnebago County, Iowa",,,"10,866",,,"10,866","10,828","10,718","10,626","10,494","10,559"
"Winneshiek County, Iowa",,,"21,056",,,"21,058","21,066","21,038","21,036","20,879","20,768"
"Woodbury County, Iowa",,,"102,172",,,"102,177","102,337","102,642","102,330","102,278","102,271"
"Worth County, Iowa",,,"7,598",,,"7,598","7,577","7,574","7,519","7,541","7,624"
"Wright County, Iowa",,,"13,229",,,"13,229","13,186","13,038","13,008","12,963","12,840"
"Allen County, Kansas",,,"13,371",,,"13,371","13,360","13,351","13,341","13,098","12,909"
"Anderson County, Kansas",,,"8,102",,,"8,102","8,098","8,051","7,918","7,858","7,883"
"Atchison County, Kansas",,,"16,924",,,"16,924","16,870","16,785","16,800","16,717","16,513"
"Barber County, Kansas",,,"4,861",,,"4,861","4,848","4,926","4,880","4,938","4,897"
"Barton County, Kansas",,,"27,674",,,"27,674","27,684","27,697","27,553","27,510","27,385"
"Bourbon County, Kansas",,,"15,173",,,"15,173","15,169","14,941","14,859","14,826","14,772"
"Brown County, Kansas",,,"9,984",,,"9,984","9,982","9,998","9,888","9,949","9,815"
"Butler County, Kansas",,,"65,880",,,"65,880","65,918","65,851","65,756","65,884","66,227"
"Chase County, Kansas",,,"2,790",,,"2,790","2,788","2,791","2,750","2,708","2,692"
"Chautauqua County, Kansas",,,"3,669",,,"3,669","3,646","3,614","3,566","3,553","3,481"
"Cherokee County, Kansas",,,"21,603",,,"21,603","21,563","21,387","21,224","20,933","20,787"
"Cheyenne County, Kansas",,,"2,726",,,"2,726","2,721","2,704","2,675","2,682","2,693"
"Clark County, Kansas",,,"2,215",,,"2,215","2,198","2,131","2,174","2,201","2,144"
"Clay County, Kansas",,,"8,535",,,"8,535","8,550","8,525","8,517","8,390","8,317"
"Cloud County, Kansas",,,"9,533",,,"9,533","9,531","9,395","9,392","9,365","9,385"
"Coffey County, Kansas",,,"8,601",,,"8,601","8,591","8,519","8,506","8,415","8,433"
"Comanche County, Kansas",,,"1,891",,,"1,891","1,886","1,883","1,908","1,924","1,954"
"Cowley County, Kansas",,,"36,311",,,"36,311","36,308","36,242","36,264","36,230","35,963"
"Crawford County, Kansas",,,"39,134",,,"39,134","39,200","39,204","39,361","39,330","39,290"
"Decatur County, Kansas",,,"2,961",,,"2,961","2,949","2,922","2,881","2,915","2,908"
"Dickinson County, Kansas",,,"19,754",,,"19,754","19,801","19,731","19,758","19,521","19,394"
"Doniphan County, Kansas",,,"7,945",,,"7,945","7,956","7,955","7,877","7,859","7,874"
"Douglas County, Kansas",,,"110,826",,,"110,826","111,296","112,491","113,339","114,803","116,585"
"Edwards County, Kansas",,,"3,037",,,"3,037","3,049","3,021","2,974","2,957","3,030"
"Elk County, Kansas",,,"2,882",,,"2,882","2,868","2,790","2,669","2,650","2,694"
"Ellis County, Kansas",,,"28,452",,,"28,452","28,451","28,774","29,090","29,060","29,013"
"Ellsworth County, Kansas",,,"6,497",,,"6,497","6,508","6,458","6,465","6,390","6,392"
"Finney County, Kansas",,,"36,776",,,"36,776","36,939","37,112","37,130","37,131","37,184"
"Ford County, Kansas",,,"33,848",,,"33,848","34,062","34,441","34,773","34,950","34,795"
"Franklin County, Kansas",,,"25,992",,,"25,996","26,006","25,887","25,878","25,790","25,611"
"Geary County, Kansas",,,"34,362",,,"34,362","35,263","35,324","38,003","36,987","36,713"
"Gove County, Kansas",,,"2,695",,,"2,695","2,683","2,689","2,721","2,765","2,727"
"Graham County, Kansas",,,"2,597",,,"2,597","2,609","2,643","2,592","2,598","2,566"
"Grant County, Kansas",,,"7,829",,,"7,829","7,846","7,899","7,852","7,869","7,816"
"Gray County, Kansas",,,"6,006",,,"6,006","6,026","6,106","5,994","6,007","6,082"
"Greeley County, Kansas",,,"1,247",,,"1,247","1,256","1,250","1,266","1,286","1,301"
"Greenwood County, Kansas",,,"6,689",,,"6,689","6,683","6,612","6,446","6,404","6,328"
"Hamilton County, Kansas",,,"2,690",,,"2,690","2,698","2,623","2,631","2,606","2,603"
"Harper County, Kansas",,,"6,034",,,"6,034","6,030","5,948","5,874","5,859","5,818"
"Harvey County, Kansas",,,"34,684",,,"34,684","34,784","34,748","34,831","34,803","34,820"
"Haskell County, Kansas",,,"4,256",,,"4,256","4,290","4,237","4,221","4,136","4,106"
"Hodgeman County, Kansas",,,"1,916",,,"1,916","1,908","1,979","1,953","1,951","1,916"
"Jackson County, Kansas",,,"13,462",,,"13,462","13,490","13,468","13,448","13,373","13,539"
"Jefferson County, Kansas",,,"19,126",,,"19,124","19,121","18,960","18,901","18,824","18,855"
"Jewell County, Kansas",,,"3,077",,,"3,077","3,065","3,087","3,037","3,067","3,043"
"Johnson County, Kansas",,,"544,179",,,"544,179","545,666","552,906","559,954","567,326","574,272"
"Kearny County, Kansas",,,"3,977",,,"3,977","3,992","3,963","3,976","3,904","3,915"
"Kingman County, Kansas",,,"7,858",,,"7,858","7,842","7,895","7,828","7,837","7,698"
"Kiowa County, Kansas",,,"2,553",,,"2,553","2,560","2,553","2,499","2,518","2,513"
"Labette County, Kansas",,,"21,607",,,"21,607","21,546","21,432","21,219","20,969","20,960"
"Lane County, Kansas",,,"1,750",,,"1,750","1,736","1,762","1,700","1,720","1,687"
"Leavenworth County, Kansas",,,"76,227",,,"76,227","76,555","77,118","77,729","78,234","78,797"
"Lincoln County, Kansas",,,"3,241",,,"3,241","3,232","3,206","3,159","3,138","3,167"
"Linn County, Kansas",,,"9,656",,,"9,656","9,637","9,605","9,481","9,531","9,502"
"Logan County, Kansas",,,"2,756",,,"2,756","2,771","2,764","2,795","2,789","2,794"
"Lyon County, Kansas",,,"33,690",,,"33,690","33,632","33,653","33,529","33,522","33,212"
"McPherson County, Kansas",,,"29,180",,,"29,180","29,141","29,213","29,341","29,606","29,241"
"Marion County, Kansas",,,"12,660",,,"12,660","12,663","12,540","12,372","12,224","12,208"
"Marshall County, Kansas",,,"10,117",,,"10,117","10,105","10,003","10,066","10,028","10,006"
"Meade County, Kansas",,,"4,575",,,"4,575","4,604","4,539","4,415","4,304","4,357"
"Miami County, Kansas",,,"32,787",,,"32,783","32,862","32,696","32,605","32,839","32,822"
"Mitchell County, Kansas",,,"6,373",,,"6,373","6,355","6,304","6,342","6,336","6,284"
"Montgomery County, Kansas",,,"35,471",,,"35,471","35,370","34,744","34,433","34,396","34,065"
"Morris County, Kansas",,,"5,923",,,"5,923","5,913","5,861","5,851","5,717","5,698"
"Morton County, Kansas",,,"3,233",,,"3,233","3,229","3,169","3,139","3,150","3,110"
"Nemaha County, Kansas",,,"10,178",,,"10,178","10,164","10,123","10,104","10,140","10,148"
"Neosho County, Kansas",,,"16,512",,,"16,512","16,485","16,455","16,452","16,458","16,416"
"Ness County, Kansas",,,"3,107",,,"3,107","3,108","3,127","3,085","3,094","3,105"
"Norton County, Kansas",,,"5,671",,,"5,671","5,661","5,672","5,605","5,642","5,560"
"Osage County, Kansas",,,"16,295",,,"16,295","16,294","16,340","16,173","16,082","15,936"
"Osborne County, Kansas",,,"3,858",,,"3,858","3,837","3,842","3,815","3,806","3,756"
"Ottawa County, Kansas",,,"6,091",,,"6,091","6,093","6,085","6,061","6,071","6,065"
"Pawnee County, Kansas",,,"6,973",,,"6,973","6,987","7,035","6,913","6,946","6,916"
"Phillips County, Kansas",,,"5,642",,,"5,642","5,632","5,543","5,521","5,571","5,533"
"Pottawatomie County, Kansas",,,"21,604",,,"21,604","21,732","22,040","22,351","22,670","22,897"
"Pratt County, Kansas",,,"9,656",,,"9,656","9,647","9,662","9,787","9,844","9,850"
"Rawlins County, Kansas",,,"2,519",,,"2,519","2,502","2,539","2,538","2,603","2,584"
"Reno County, Kansas",,,"64,511",,,"64,511","64,558","64,393","64,217","64,155","63,794"
"Republic County, Kansas",,,"4,980",,,"4,980","4,957","4,913","4,858","4,810","4,803"
"Rice County, Kansas",,,"10,083",,,"10,083","10,113","10,101","10,009","10,010","10,015"
"Riley County, Kansas",,,"71,115",,,"71,131","71,612","73,384","76,297","75,905","75,194"
"Rooks County, Kansas",,,"5,181",,,"5,181","5,173","5,182","5,197","5,164","5,155"
"Rush County, Kansas",,,"3,307",,,"3,307","3,318","3,200","3,207","3,186","3,197"
"Russell County, Kansas",,,"6,970",,,"6,970","6,983","6,962","6,963","6,929","6,956"
"Saline County, Kansas",,,"55,606",,,"55,606","55,758","55,733","55,890","55,830","55,755"
"Scott County, Kansas",,,"4,936",,,"4,936","4,946","4,906","4,900","4,992","5,080"
"Sedgwick County, Kansas",,,"498,365",,,"498,365","499,282","500,914","503,821","506,121","508,803"
"Seward County, Kansas",,,"22,952",,,"22,952","22,985","23,223","23,453","23,470","23,465"
"Shawnee County, Kansas",,,"177,934",,,"177,934","178,257","178,861","178,904","178,574","178,406"
"Sheridan County, Kansas",,,"2,556",,,"2,556","2,551","2,544","2,533","2,531","2,539"
"Sherman County, Kansas",,,"6,010",,,"6,010","6,008","6,039","6,125","6,107","6,110"
"Smith County, Kansas",,,"3,853",,,"3,853","3,859","3,791","3,754","3,720","3,769"
"Stafford County, Kansas",,,"4,437",,,"4,437","4,423","4,390","4,354","4,350","4,297"
"Stanton County, Kansas",,,"2,235",,,"2,235","2,258","2,228","2,170","2,167","2,111"
"Stevens County, Kansas",,,"5,724",,,"5,724","5,749","5,641","5,737","5,790","5,801"
"Sumner County, Kansas",,,"24,132",,,"24,132","24,110","23,858","23,706","23,614","23,528"
"Thomas County, Kansas",,,"7,900",,,"7,900","7,947","7,950","7,947","8,001","7,891"
"Trego County, Kansas",,,"3,001",,,"3,001","2,990","2,977","2,969","2,959","2,902"
"Wabaunsee County, Kansas",,,"7,053",,,"7,053","7,047","7,042","7,018","7,041","7,022"
"Wallace County, Kansas",,,"1,485",,,"1,485","1,482","1,524","1,524","1,562","1,506"
"Washington County, Kansas",,,"5,799",,,"5,799","5,789","5,838","5,731","5,628","5,598"
"Wichita County, Kansas",,,"2,234",,,"2,234","2,238","2,257","2,226","2,186","2,176"
"Wilson County, Kansas",,,"9,409",,,"9,409","9,394","9,239","9,119","9,105","9,028"
"Woodson County, Kansas",,,"3,309",,,"3,309","3,299","3,306","3,260","3,206","3,157"
"Wyandotte County, Kansas",,,"157,505",,,"157,505","157,762","158,030","159,303","160,601","161,636"
"Adair County, Kentucky",,,"18,656",,,"18,656","18,871","18,979","18,971","19,135","19,204"
"Allen County, Kentucky",,,"19,956",,,"19,967","20,040","20,170","20,231","20,269","20,384"
"Anderson County, Kentucky",,,"21,421",,,"21,421","21,458","21,560","21,663","21,752","21,888"
"Ballard County, Kentucky",,,"8,249",,,"8,247","8,259","8,285","8,304","8,282","8,240"
"Barren County, Kentucky",,,"42,173",,,"42,173","42,178","42,415","42,669","43,046","43,148"
"Bath County, Kentucky",,,"11,591",,,"11,591","11,623","11,715","11,799","12,008","12,206"
"Bell County, Kentucky",,,"28,691",,,"28,691","28,705","28,631","28,152","27,905","27,778"
"Boone County, Kentucky",,,"118,811",,,"118,811","119,306","121,640","123,258","124,535","126,413"
"Bourbon County, Kentucky",,,"19,985",,,"19,985","19,964","19,993","19,996","19,935","19,972"
"Boyd County, Kentucky",,,"49,542",,,"49,538","49,682","49,448","49,284","48,963","48,832"
"Boyle County, Kentucky",,,"28,432",,,"28,420","28,651","28,756","29,048","29,588","29,706"
"Bracken County, Kentucky",,,"8,488",,,"8,488","8,494","8,493","8,464","8,440","8,406"
"Breathitt County, Kentucky",,,"13,878",,,"13,876","13,858","13,834","13,645","13,567","13,409"
"Breckinridge County, Kentucky",,,"20,059",,,"20,053","20,053","20,285","20,098","20,056","19,888"
"Bullitt County, Kentucky",,,"74,319",,,"74,319","74,495","75,282","75,913","76,819","77,955"
"Butler County, Kentucky",,,"12,690",,,"12,690","12,715","12,763","12,806","12,826","12,875"
"Caldwell County, Kentucky",,,"12,984",,,"12,984","12,986","12,981","12,921","12,785","12,725"
"Calloway County, Kentucky",,,"37,191",,,"37,191","37,425","37,831","38,228","38,141","38,282"
"Campbell County, Kentucky",,,"90,336",,,"90,336","90,726","91,220","91,175","91,385","91,833"
"Carlisle County, Kentucky",,,"5,104",,,"5,104","5,100","5,049","5,042","4,988","4,978"
"Carroll County, Kentucky",,,"10,811",,,"10,811","10,807","10,980","10,874","10,881","10,815"
"Carter County, Kentucky",,,"27,720",,,"27,718","27,754","27,458","27,471","27,291","27,223"
"Casey County, Kentucky",,,"15,955",,,"15,952","15,965","15,963","16,086","16,107","15,891"
"Christian County, Kentucky",,,"73,955",,,"73,939","74,213","73,640","75,770","74,422","74,250"
"Clark County, Kentucky",,,"35,613",,,"35,613","35,607","35,456","35,739","35,607","35,758"
"Clay County, Kentucky",,,"21,730",,,"21,730","21,691","21,613","21,541","21,238","21,147"
"Clinton County, Kentucky",,,"10,272",,,"10,272","10,276","10,151","10,233","10,136","10,165"
"Crittenden County, Kentucky",,,"9,315",,,"9,315","9,308","9,270","9,247","9,222","9,224"
"Cumberland County, Kentucky",,,"6,856",,,"6,856","6,857","6,867","6,859","6,815","6,745"
"Daviess County, Kentucky",,,"96,656",,,"96,659","96,719","97,233","97,727","98,200","98,275"
"Edmonson County, Kentucky",,,"12,161",,,"12,161","12,192","12,267","12,130","12,082","12,013"
"Elliott County, Kentucky",,,"7,852",,,"7,852","7,884","7,916","7,748","7,686","7,672"
"Estill County, Kentucky",,,"14,672",,,"14,672","14,697","14,636","14,486","14,470","14,447"
"Fayette County, Kentucky",,,"295,803",,,"295,803","296,695","301,213","305,251","308,411","310,797"
"Fleming County, Kentucky",,,"14,348",,,"14,355","14,394","14,486","14,532","14,567","14,545"
"Floyd County, Kentucky",,,"39,451",,,"39,451","39,946","39,797","39,141","38,443","38,108"
"Franklin County, Kentucky",,,"49,285",,,"49,285","49,319","49,307","49,379","49,661","49,880"
"Fulton County, Kentucky",,,"6,813",,,"6,813","6,825","6,730","6,547","6,385","6,265"
"Gallatin County, Kentucky",,,"8,589",,,"8,589","8,608","8,576","8,491","8,504","8,589"
"Garrard County, Kentucky",,,"16,912",,,"16,912","16,933","16,806","16,922","16,883","16,858"
"Grant County, Kentucky",,,"24,662",,,"24,662","24,682","24,713","24,491","24,576","24,875"
"Graves County, Kentucky",,,"37,121",,,"37,121","37,207","37,513","37,535","37,380","37,618"
"Grayson County, Kentucky",,,"25,746",,,"25,746","25,791","25,787","25,865","26,033","26,194"
"Green County, Kentucky",,,"11,258",,,"11,260","11,228","11,204","11,300","11,157","11,043"
"Greenup County, Kentucky",,,"36,910",,,"36,914","36,909","36,850","36,718","36,496","36,308"
"Hancock County, Kentucky",,,"8,565",,,"8,565","8,556","8,604","8,671","8,686","8,753"
"Hardin County, Kentucky",,,"105,543",,,"105,549","106,995","107,440","107,052","108,073","108,266"
"Harlan County, Kentucky",,,"29,278",,,"29,278","29,238","29,177","28,616","28,527","28,163"
"Harrison County, Kentucky",,,"18,846",,,"18,849","18,819","18,679","18,592","18,532","18,592"
"Hart County, Kentucky",,,"18,199",,,"18,199","18,218","18,348","18,433","18,539","18,597"
"Henderson County, Kentucky",,,"46,250",,,"46,250","46,270","46,384","46,462","46,389","46,467"
"Henry County, Kentucky",,,"15,416",,,"15,416","15,407","15,382","15,342","15,431","15,572"
"Hickman County, Kentucky",,,"4,902",,,"4,902","4,883","4,823","4,764","4,748","4,734"
"Hopkins County, Kentucky",,,"46,920",,,"46,920","46,890","46,896","46,702","46,556","46,376"
"Jackson County, Kentucky",,,"13,494",,,"13,494","13,491","13,397","13,298","13,376","13,289"
"Jefferson County, Kentucky",,,"741,096",,,"741,096","742,227","746,562","751,327","757,282","760,026"
"Jessamine County, Kentucky",,,"48,586",,,"48,586","48,678","48,865","49,563","50,084","50,815"
"Johnson County, Kentucky",,,"23,356",,,"23,358","23,385","23,424","23,415","23,464","23,262"
"Kenton County, Kentucky",,,"159,720",,,"159,721","160,023","160,583","161,671","163,367","163,929"
"Knott County, Kentucky",,,"16,346",,,"16,346","16,361","16,290","16,087","16,064","15,892"
"Knox County, Kentucky",,,"31,883",,,"31,883","31,867","32,081","31,700","31,837","31,798"
"Larue County, Kentucky",,,"14,193",,,"14,193","14,199","14,206","14,085","14,076","14,180"
"Laurel County, Kentucky",,,"58,849",,,"58,849","59,017","59,377","59,587","59,681","60,015"
"Lawrence County, Kentucky",,,"15,860",,,"15,858","15,879","15,908","15,827","15,832","15,804"
"Lee County, Kentucky",,,"7,887",,,"7,889","7,714","7,791","7,646","7,659","7,594"
"Leslie County, Kentucky",,,"11,310",,,"11,310","11,290","11,281","11,144","11,005","10,918"
"Letcher County, Kentucky",,,"24,519",,,"24,519","24,571","24,436","23,946","23,513","23,359"
"Lewis County, Kentucky",,,"13,870",,,"13,872","13,854","13,864","13,842","13,799","13,880"
"Lincoln County, Kentucky",,,"24,742",,,"24,754","24,756","24,709","24,408","24,413","24,445"
"Livingston County, Kentucky",,,"9,519",,,"9,519","9,538","9,505","9,447","9,368","9,359"
"Logan County, Kentucky",,,"26,835",,,"26,835","26,853","26,828","26,703","26,968","26,867"
"Lyon County, Kentucky",,,"8,314",,,"8,319","8,319","8,428","8,437","8,463","8,430"
"McCracken County, Kentucky",,,"65,565",,,"65,565","65,566","65,818","65,645","65,380","65,316"
"McCreary County, Kentucky",,,"18,306",,,"18,306","18,271","18,255","18,035","17,941","17,863"
"McLean County, Kentucky",,,"9,531",,,"9,531","9,516","9,524","9,520","9,513","9,478"
"Madison County, Kentucky",,,"82,916",,,"82,916","83,868","84,829","85,206","86,181","87,340"
"Magoffin County, Kentucky",,,"13,333",,,"13,333","13,313","13,215","13,030","12,907","12,913"
"Marion County, Kentucky",,,"19,820",,,"19,820","19,811","20,030","19,990","19,985","20,007"
"Marshall County, Kentucky",,,"31,448",,,"31,448","31,458","31,264","31,268","31,173","30,953"
"Martin County, Kentucky",,,"12,929",,,"12,929","12,890","12,875","12,763","12,683","12,537"
"Mason County, Kentucky",,,"17,490",,,"17,490","17,508","17,544","17,463","17,309","17,166"
"Meade County, Kentucky",,,"28,602",,,"28,597","28,703","29,649","29,276","29,246","29,139"
"Menifee County, Kentucky",,,"6,306",,,"6,306","6,355","6,406","6,314","6,323","6,287"
"Mercer County, Kentucky",,,"21,331",,,"21,331","21,340","21,265","21,343","21,286","21,319"
"Metcalfe County, Kentucky",,,"10,099",,,"10,099","10,119","10,071","9,983","9,963","9,990"
"Monroe County, Kentucky",,,"10,963",,,"10,963","10,977","10,918","10,859","10,725","10,704"
